label,qtd,palavras
ICE_BUCKETS,400,"bald 329,gel 278,cervej 102,litr 92,alumini 74,inox 56,champanh 35,alc 25,person 24,garraf 22,cop 17,aco 17,metal 17,bar 16,skol 16,plas 15,prat 15,peg 15,term 14,acril 14,port 13,beb 13,budweis 12,antig 11,vidr 11,mad 11,alumiart 10,stell 10,tamp 9,cor 9,un 9,suport 9,artoil 9,brahm 9,pur 8,fret 8,hercul 8,promoca 8,transpar 8,abri 8,cest 8,und 7,duff 7,red 7,cobr 7,tac 7,xcm 6,hom 6,brinox 6,pc 6"
THERMAL_CUPS_AND_TUMBLERS,477,"cop 354,term 351,canec 137,inox 86,caf 52,tamp 51,un 39,descarta 31,viag 30,gel 30,off 26,isop 25,person 24,emborrach 22,cervej 22,hoj 20,uatt 18,alumini 17,cria 17,zon 16,profisso 15,chopp 15,profissa 14,stanley 14,acril 14,comic 14,canud 13,dc 13,plas 12,unicorni 12,pop 12,batman 12,aco 12,lent 11,cam 11,garraf 11,coffe 9,promoca 9,so 9,dart 8,port 8,am 8,hor 8,mm 8,cor 8,chav 8,amig 8,congel 8,lud 8,gam 7"
STABILIZERS_AND_UPS,427,"va 305,nobreak 241,estabiliz 138,bivolt 109,sm 80,nh 58,apc 50,up 49,senoid 41,bat 35,ts 33,sh 32,break 28,said 27,tom 26,pow 26,enermax 25,br 23,premium 23,mon 22,iii 22,biv 21,kva 21,ragtech 19,ii 18,no 17,ah 17,revolution 17,compact 16,eletron 16,net 16,engat 15,station 15,back 15,prote 14,new 14,speedy 14,pc 13,way 13,smart 13,lin 12,entr 12,usb 12,font 12,rack 11,easy 11,xnb 11,pdv 11,pro 10,plu 10"
LED_STAGE_LIGHTS,458,"led 382,par 109,refle 104,dmx 91,rgb 89,strob 87,canha 82,moving 77,iluminaca 68,rgbw 64,lamp 63,luz 58,fest 54,head 43,dj 39,be 38,cre 36,bol 30,slim 29,bivolt 27,digit 27,maluc 26,color 25,efeit 24,spot 23,light 20,control 20,bal 19,painel 19,glob 18,pc 18,mes 15,girat 15,indo 13,rota 13,proje 13,grow 12,jog 12,sup 12,show 12,cor 11,las 11,ritm 11,ribalt 10,disc 9,flash 9,gob 9,profiss 9,pl 9,full 8"
LENS_FILTERS,393,"filtr 380,uv 165,nd 105,cpl 102,lent 89,canon 83,nikon 75,polariz 63,hoy 48,sony 46,mm 45,kenk 40,circul 26,varia 26,dens 26,neutr 26,cam 25,ti 23,up 17,nikk 15,greik 15,hmc 15,digit 15,af 14,ando 14,slim 13,ef 13,st 13,parasol 12,zom 12,pro 12,rosc 12,obje 11,estrel 11,fotobestway 11,cokin 11,fld 11,fuj 11,fret 11,pront 10,entreg 10,grad 10,ed 9,fotograf 9,clos 9,japan 9,fad 9,polar 9,pont 8,filt 8"
ENGINE_OIL_DIPSTICKS,444,"varet 340,ole 334,nivel 114,motor 86,revisa 81,hyund 74,km 72,medi 46,tub 31,gasolin 31,mil 29,aud 26,hb 25,fiat 22,flex 20,vw 19,gol 19,fe 17,peugeot 17,sant 17,gui 16,golf 15,suport 14,ford 14,turb 12,gm 12,gasolina 12,jett 12,ivepart 12,ivec 12,daily 12,passat 11,orig 11,pali 11,pol 11,azer 10,new 10,peak 10,cambi 9,ano 9,merced 9,volkswagen 8,fiest 8,kia 8,sportag 8,filtr 8,citroen 8,vectr 8,tucson 8,can 8"
ROLLER_SKATES,549,"patim 501,roll 197,rod 156,ajusta 70,quad 66,traxart 57,infantil 52,abec 51,lin 49,tamanh 49,class 45,tam 42,in 42,fenix 42,inlin 40,skat 34,bel 33,ox 31,tradic 26,rl 25,sport 25,feminin 25,retr 24,profiss 23,menin 23,cinz 21,lun 20,regula 20,acessori 20,mor 19,proteca 17,street 17,fil 17,styl 17,us 16,all 16,led 16,capacet 15,fret 14,br 13,numer 13,fun 12,freestyl 12,hond 12,gratil 11,sem 11,radic 11,multikid 10,luz 10,st 10"
POOL_LIGHTS,335,"led 292,piscin 234,refle 183,rgb 156,iluminaca 99,com 88,inox 65,lumin 43,font 38,ab 37,touch 36,control 34,tholz 27,sup 25,smd 25,sodram 22,adapt 18,centr 18,nautilu 18,caix 17,encaix 17,fibr 17,vinil 16,color 15,ate 14,m2 14,luz 14,ip 13,cascat 12,pass 12,slim 11,tecn 10,hip 10,nich 10,complet 8,comando 8,pow 8,adap 7,classic 7,disposi 7,transform 7,alven 7,cap 6,mon 6,pool 6,wi 6,garr 6,pc 6,wif 6,pratic 6"
KEY_RACKS,366,"chav 328,port 275,mad 51,mdf 46,pared 33,ganch 30,porta 26,control 23,quadr 22,decor 21,claviculari 18,organiz 18,decoraca 17,cas 15,remot 15,lar 15,metal 14,pratel 13,carr 13,cart 13,celul 12,cabid 12,antig 11,hom 10,caval 10,col 9,gavet 8,sal 8,bols 8,retr 8,suport 8,dec 7,promoca 7,xxcm 7,doc 7,pres 7,mold 7,armari 7,pin 6,lug 6,cru 6,am 6,country 6,pc 6,co 6,fl 6,geek 6,objet 6,rock 6,nich 6"
TV_ANTENNAS,419,"anten 365,digit 207,tv 143,hdtv 117,intern 113,uhf 98,extern 81,cab 61,vhf 59,aquari 41,dtv 41,hd 39,fm 39,ku 32,parabol 29,lnb 28,log 27,amplific 26,mt 22,element 19,band 19,sinal 19,bas 18,proeletronic 18,conver 17,dbi 15,db 14,mastr 14,metr 13,recep 13,lnbf 12,prohd 12,intelbr 12,ima 11,univers 10,century 10,sky 10,simpl 9,complet 9,mhz 9,fio 8,chap 8,multipont 8,divi 8,ai 8,conec 8,promoca 7,philip 7,full 7,capt 7"
MOTORCYCLE_FENDERS,458,"paralam 344,diant 198,tras 103,caren 80,titan 75,rabet 64,hond 48,tamp 45,fan 44,biz 32,cg 32,ybr 31,farol 29,prat 28,yamah 27,aba 24,cb 23,fac 21,crf 21,bro 19,lam 19,esd 19,verd 17,xre 16,pint 16,later 15,lantern 15,suzuk 14,twist 14,cbx 13,mot 13,complet 13,ano 13,metal 13,suport 12,paramot 12,para 12,tra 11,front 11,xtz 11,faz 11,ex 11,amarel 10,ks 10,ate 10,plas 9,es 9,perol 9,melc 8,cor 8"
SOLDERING_MACHINES,397,"sold 375,maquin 221,inver 172,mig 70,tig 61,bivolt 59,eletrod 37,ferr 34,masc 34,mma 34,amp 29,esab 24,toch 24,digit 22,vond 20,transform 18,eletr 18,mag 16,portatil 15,ga 14,profiss 14,work 13,usk 13,lynu 12,brasil 12,riv 12,automa 11,pc 11,brind 10,estaca 9,turb 9,balm 9,tork 9,monofas 9,arc 9,bv 9,aut 9,flam 8,complet 8,display 8,pro 7,bambozz 7,aram 7,pistol 7,br 7,acessori 7,pont 7,box 7,alumini 7,gratil 6"
MOTORCYCLE_BATTERIES,432,"bat 432,mot 115,ah 114,hond 74,mour 57,gel 54,sel 54,ma 43,heli 42,yuas 38,cg 36,yamah 36,motobatt 34,ytx 33,suzuk 32,ytxl 28,kawasak 27,titan 27,rout 25,biz 24,aliant 24,harley 24,brandy 23,cb 23,htzl 21,liti 21,mbtxu 20,cbr 20,bmw 19,ylp 19,fan 18,ano 18,davidson 18,marell 18,ybl 17,pioneir 17,magnet 17,ks 17,promoca 16,bro 15,zx 15,agm 14,xre 14,gs 13,bosch 13,amp 13,ytz 13,ninj 13,xtz 12,es 10"
CAR_DISTRIBUTOR_CAPS,417,"distribu 303,tamp 209,ignica 63,rot 39,bosch 33,gol 32,vw 30,corre 29,fusc 28,opal 28,cap 22,motor 22,komb 21,dent 21,cc 21,gm 21,avanc 20,hall 20,eletron 19,ford 18,chevett 18,monz 17,parat 16,ate 15,efi 15,sensor 15,platin 13,kadett 13,corcel 12,chevrolet 12,jeep 12,civic 12,sav 12,sant 12,cilindr 12,passat 11,hond 11,cors 11,dodg 11,uno 10,fiat 10,ipanem 10,caravan 10,astr 10,omeg 10,vectr 9,smp 9,cil 8,brasil 8,ap 8"
DJ_CONTROLLERS,449,"control 194,pione 145,dj 140,cdj 119,ddj 101,cas 46,mix 44,numark 39,par 37,pionn 30,music 29,usb 26,xdj 24,sb 24,mk 24,serat 20,nov 19,rb 19,tecl 19,djm 19,trak 18,hercul 16,weg 15,cd 15,nexu 15,denon 15,rekordbox 14,us 14,ak 14,canal 13,sx 13,pro 12,caix 11,play 11,mixtrack 11,vend 11,profiss 10,mp 10,vide 10,kontrol 10,garant 10,sr 10,rx 9,behring 9,complet 9,apc 8,rr 8,pront 8,entreg 8,mid 7"
AV_RECEIVERS,429,"receiv 325,denon 67,avr 61,bluetooth 60,som 53,yamah 52,amplific 49,slim 49,frahm 46,ambi 45,rx 41,onky 37,canal 34,usb 32,caix 32,tx 30,pione 28,gradi 28,sony 27,marantz 25,fm 23,app 22,arandel 21,vsx 20,bt 20,hom 20,wif 20,nr 19,sr 17,hdm 17,ch 16,sansu 14,xh 13,philip 13,theat 12,dolby 12,sa 11,model 11,audi 10,man 10,sh 10,hd 10,str 10,sd 9,av 9,harman 9,wifi 9,ultr 9,branc 9,defeit 9"
MUSICAL_TUNERS,398,"afin 242,guit 88,croma 83,digit 80,vintag 69,viola 66,clip 64,post 62,quadr 60,retr 59,baix 57,korg 50,metron 47,tam 47,pedal 40,skull 35,plac 33,decor 30,bos 29,pinup 28,antig 28,cav 26,tun 25,art 25,mexic 24,violin 21,tu 16,polytun 15,joy 15,tamanh 14,at 13,tc 13,ukulel 13,bar 12,sant 12,pin 12,up 12,sintoniz 11,fret 11,electronic 10,eletron 10,pitchblack 10,loj 9,cavac 9,gratil 9,custom 9,angel 9,music 8,arom 8,mecan 8"
TOOL_BOXES,360,"caix 239,ferrament 226,malet 120,plas 84,organiz 65,vond 61,gavet 49,metal 30,bau 29,stanley 23,sanfon 23,bandej 22,ferc 20,tramontin 17,divis 15,alc 14,pec 14,cour 14,rod 14,multius 13,profiss 13,xx 12,aco 11,opv 11,vd 11,alumini 11,xxcm 10,pret 10,ref 10,marcon 10,box 10,boxx 10,pol 10,estoj 10,grand 9,arqplast 9,bosch 9,med 8,pesc 8,poleg 8,work 8,mj 8,port 7,cpv 7,bols 7,guis 7,reforc 7,cmv 6,dobra 6,tr 6"
ELECTRONIC_ENTRANCE_INTERCOMS,467,"port 301,interfon 177,intelbr 140,eletron 105,vide 96,agl 82,fechad 72,cole 69,pont 58,hdl 56,iv 46,resid 36,monofon 36,ipr 35,plac 33,prote 27,centr 27,modul 25,cab 23,xpe 23,fio 22,control 20,col 20,extensa 20,eletr 19,intern 18,lid 17,hf 17,hs 17,lr 16,az 16,acess 16,not 15,cam 14,thev 14,extern 14,ramal 13,ti 12,univers 12,voz 12,color 12,ima 12,acion 11,visa 11,sens 11,in 11,lcd 11,videoport 11,fon 11,noturn 10"
SWAY_BARS,332,"barr 276,estabiliz 242,diant 126,tras 45,buch 35,merced 23,direca 22,suport 19,estab 18,bmw 16,bielet 16,mb 14,aud 14,fiat 13,par 12,repar 11,coxim 10,ford 9,komb 9,tra 9,centr 8,later 8,sampel 8,gm 8,tir 8,hyund 8,abrac 8,cors 7,pali 7,axial 7,borrach 7,suspensa 7,golf 7,apoi 6,pec 6,intern 6,direit 6,civic 6,cofap 5,btc 5,opal 5,amortec 5,hb 5,manc 5,escort 5,jett 5,vw 5,pajer 5,fusc 5,kia 5"
GATE_MOTORS,430,"motor 355,porta 236,desliz 147,ppa 115,dz 112,eletron 77,hp 76,ross 63,peccinin 62,bascul 55,rcg 52,control 41,turb 40,cremalh 35,garen 34,automatiz 27,centr 27,nan 24,gatt 24,jetflex 23,rio 21,seg 20,jet 20,flex 20,pivot 19,plac 18,kdz 17,max 17,automa 17,bv 17,suport 16,rap 15,tx 14,corr 14,mt 13,flash 13,fim 13,curs 13,industr 13,cr 12,caren 11,tamp 11,hom 11,complet 10,pred 10,pc 10,att 9,sk 9,unisyst 9,dupl 9"
HOME_SHELVES,471,"pratel 266,nich 153,mdf 125,suport 73,decor 71,xx 46,mad 43,est 41,pared 25,branc 25,xcm 24,ferr 21,port 21,mao 20,organiz 18,retangul 16,co 16,franc 16,vidr 15,tri 15,pec 15,invisi 14,dupl 13,gavet 13,quadr 13,decoraca 13,and 12,rus 12,pret 12,med 11,movel 11,aco 11,loj 11,canton 11,fret 10,gratil 9,conjunt 9,modul 9,armari 9,sal 9,mdp 9,closet 9,livr 9,apar 9,multius 9,sup 8,sob 8,cant 8,grand 8,tramontin 8"
EROTIC_PUMPS,312,"bomb 243,peni 206,penil 198,aument 127,man 74,along 65,cresc 46,tens 44,exten 40,eletr 38,desenvolv 34,anel 34,nanm 31,aparelh 30,clitori 27,peneflex 26,per 24,bathmat 24,lust 24,grand 20,prosolution 19,sering 18,cap 16,vibr 15,clitoril 15,brind 14,vagin 14,gatilh 14,profiss 13,pow 13,tech 13,pint 13,extr 12,pressa 12,gross 11,slim 11,gel 9,retard 9,eletron 8,cyb 8,mai 8,natur 8,din 8,alt 8,ce 7,strong 7,top 7,manometr 7,alarg 7,sex 7"
MOTORCYCLE_JERSEYS,402,"camis 221,camiset 177,rs 81,fox 55,alpinest 55,asw 53,mot 37,trilh 33,motocros 33,insan 30,gg 28,rac 27,pro 26,xl 24,laranj 23,tork 23,azul 22,tamanh 21,tam 20,vermelh 19,imag 19,pret 19,pel 18,infantil 18,branc 18,masculin 18,segund 17,calc 17,im 17,amarel 16,cinz 16,feminin 15,factory 14,harley 13,davidson 13,vermelho 12,bik 12,preto 12,verd 12,term 11,protork 11,blus 11,cor 11,th 11,off 11,road 11,flu 11,racing 10,lee 10,cod 10"
AQUARIUM_FILTERS,430,"filtr 330,aquari 117,extern 96,uv 90,canist 78,sunsun 60,lag 44,intern 41,hf 39,ale 33,sun 31,boyu 31,bomb 30,hang 30,on 30,hw 27,ate 23,hop 22,atman 19,pressur 18,aqu 16,xp 16,mid 15,jeb 15,spid 15,rs 14,ultr 13,violet 13,ocean 13,hbl 13,jad 12,litr 12,one 11,jp 11,tech 11,brind 11,cpf 10,jbl 10,ipf 10,cub 10,litwin 9,cuv 9,biolog 8,pres 8,ser 8,osmos 8,gpd 8,fi 8,wf 8,test 8"
CAR_ENGINE_CAMSHAFTS,431,"com 401,valvul 339,eix 59,admissa 47,escap 46,cabecot 41,gm 29,cors 27,motor 25,flex 24,bmw 22,vw 20,gaiol 18,ivepart 17,merced 16,gol 16,sensor 15,celt 14,opal 14,aud 14,ivec 13,daily 13,arvor 13,hyund 13,pol 13,manc 12,mpf 12,kia 12,ford 12,letr 12,fiat 11,ar 11,turb 11,monz 10,posica 10,renault 10,efi 10,adm 9,chevrolet 9,ga 9,prism 8,kadett 8,esc 8,ap 8,fusc 8,par 8,citroen 8,peugeot 7,tuch 7,azer 7"
CLUTCH_FORKS,368,"garf 338,embre 189,cambi 51,part 43,march 36,motor 35,ford 21,vw 18,gol 18,buch 16,gm 16,di 14,caix 14,merced 13,uno 12,pin 12,fiat 12,tod 11,alavanc 11,hast 11,citroen 11,mb 10,acion 10,peugeot 10,rol 9,tr 9,opal 9,ducat 9,eix 9,mol 9,repar 9,sant 7,benz 7,ap 7,renault 7,re 7,chevrolet 7,cab 6,voyag 6,parat 6,sav 6,blaz 6,vectr 6,uf 6,orig 6,pali 6,sele 6,cors 5,bosch 5,regul 5"
CELLPHONE_REPAIR_TOOL_KITS,354,"chav 160,celul 159,ferrament 106,jog 58,precisa 53,iphon 52,abr 49,yaxun 40,pec 38,tablet 35,manutenca 33,torx 27,pc 26,fend 24,yx 21,notebook 21,col 19,profiss 17,espatul 16,repar 15,assistenc 15,banc 14,tecn 14,philip 13,sold 12,tabl 12,tel 11,lcd 11,plac 11,samsung 11,consert 11,relogi 11,fit 11,ipad 10,vent 9,mot 9,estoj 9,it 9,complet 8,eletron 8,aco 8,pinc 8,plu 7,separ 7,alen 7,fac 7,client 7,univers 6,plas 6,sony 6"
PARTY_HATS,438,"chapeu 389,fest 72,palh 49,cartol 33,aniversari 33,junin 31,cowboy 29,fantas 28,cop 22,adult 20,infantil 19,brasil 16,carnav 16,un 16,espum 15,brux 15,panam 13,feltr 13,quep 13,cosplay 12,prai 12,eva 12,aba 11,unidad 11,mund 10,cachep 10,mexic 10,malandr 10,cor 9,capacet 9,pirat 9,xcm 8,plas 8,country 8,tamanh 8,halloween 8,polic 8,marinh 7,import 7,caip 7,marrom 7,tem 7,amarel 7,cas 6,escolh 6,boin 6,bonec 6,estil 6,lembranc 6,bon 6"
BOOKCASES,421,"est 387,livr 118,pratel 99,nich 54,port 49,movel 36,politorn 32,mad 30,gavet 26,multius 25,brv 24,retr 20,escritori 19,branc 18,mdf 17,cor 15,amarel 14,castanh 13,movelbent 13,armari 13,be 13,tecn 12,mobil 12,offic 11,carvalh 11,pared 11,modul 11,aco 10,hom 10,pret 10,dall 10,baix 9,rus 9,ferr 9,cost 9,artely 8,decor 8,rack 8,suspens 8,caracol 8,alt 8,conjunt 7,bl 7,industr 7,sal 7,organiz 7,tabac 7,xx 7,max 7,brilh 7"
PET_COLLARS,378,"col 294,cae 88,peitor 83,cachorr 67,pet 58,gat 55,cour 55,tamanh 41,dog 36,gui 34,cao 30,tam 22,estamp 18,nylon 18,seguranc 17,grand 16,zee 16,forr 15,pulg 14,port 14,ajusta 12,pequen 12,pit 11,bull 11,ndeg 10,ant 10,brind 10,fret 10,gratil 10,ping 10,cint 10,promoca 10,one 10,carrapat 9,led 9,zeedog 9,conjunt 9,medi 9,atac 9,pp 9,spik 9,stras 9,leevr 8,identificaca 8,pitbull 8,cor 8,corr 8,un 8,sinte 7,guiz 7"
SUITCASES,534,"mal 532,viag 314,rod 144,ab 100,pequen 81,med 71,grand 70,bord 66,conjunt 55,rig 52,deg 47,bols 35,pret 31,fibr 31,mao 29,cade 28,pec 23,cour 22,sestin 21,fret 20,tamanh 19,gir 18,frasc 17,santin 17,jog 17,tam 17,pol 17,samsonit 16,king 16,prat 15,gratil 15,alc 14,lev 14,tsa 14,carr 14,seanit 13,expans 12,yim 11,cor 11,batik 11,grau 10,promoca 10,resist 10,ma 10,expansi 9,primic 9,ika 9,jack 9,design 9,cinz 9"
CELLPHONE_REPLACEMENT_CAMERAS,419,"cam 419,tras 195,front 192,samsung 82,mot 69,xt 62,lg 57,galaxy 46,retir 46,plu 36,tablet 30,motorol 24,iphon 23,sm 20,prim 19,selfi 18,zenfon 18,gt 18,play 16,sony 16,flex 16,celul 13,princip 12,fret 12,test 10,asu 10,alcatel 10,jm 9,tab 9,xper 9,posi 9,gs 9,pro 8,not 8,orig 8,flat 7,nov 7,lenov 7,cor 6,tv 6,lit 5,zekl 5,gran 5,vib 5,lum 5,genesil 5,us 5,envi 5,neo 5,sensor 4"
MEN_SWIMWEAR,359,"sung 301,prai 90,box 71,infantil 56,estamp 54,masculin 54,vera 29,short 28,mod 27,mash 26,proteca 24,tamanh 21,sunga 19,uv 19,sol 18,lycr 16,blus 13,tam 13,pret 13,piscin 13,listr 12,lis 12,adult 12,menin 11,later 11,bermud 11,cor 11,sup 10,cav 10,aussiebum 10,tumblr 10,loos 10,tropic 10,mar 9,heroil 9,person 9,verd 9,hang 9,ano 9,flor 8,adid 8,import 8,pront 8,entreg 8,cal 8,tip 7,fret 7,ench 7,boj 7,var 7"
HAIR_BRUSHES,458,"escov 385,cabel 164,pent 88,profiss 80,marc 66,bon 65,cerd 45,eletr 35,javal 27,lcd 26,barb 26,therm 25,mad 25,term 25,unic 21,raquet 21,ref 19,proart 19,hair 17,ceramic 16,pro 15,rota 15,brush 15,ceram 14,esta 14,cond 13,vaz 13,fabul 13,model 13,mass 12,ricc 12,ant 12,alis 12,eva 12,cab 12,grand 11,desembarac 11,chap 11,dupl 11,col 11,belliz 10,tangl 10,fam 10,oval 9,un 9,pente 9,teez 9,hom 9,lot 9,plas 9"
TV_RECEIVERS_AND_DECODERS,344,"recep 155,digit 152,tv 133,conver 106,hd 95,grav 51,livr 31,sky 29,anten 28,pre 28,full 28,analog 25,pag 25,dtv 25,elsy 24,hdm 24,aquari 23,usb 21,oi 20,android 20,cab 19,hdtv 17,clar 17,canal 16,funca 16,box 15,century 14,midiabox 14,parabol 13,smart 12,etr 12,gratil 12,sinal 12,dongl 11,lnb 10,sd 10,fio 10,dia 9,flex 9,dvb 9,control 9,caix 9,dupl 8,remot 8,extern 8,sat 8,rk 7,satelit 7,receb 7,band 7"
IRONS,374,"ferr 327,vap 224,pass 200,roup 88,deck 74,sec 47,bas 30,antiader 26,arn 25,mond 25,britan 21,philip 21,eletr 20,walit 20,ceram 17,cadenc 16,electrolux 15,ultraglis 14,ost 14,aj 13,vaporiz 13,ceramic 13,industr 12,fret 11,viag 11,ri 10,spray 10,nf 10,bivolt 10,black 9,gratil 9,rox 8,easy 8,compact 8,philc 8,fu 8,profiss 7,plu 7,car 7,tabu 7,antig 7,ajaz 6,ste 6,saphir 6,iro 6,branco 5,patchwork 5,sup 5,pront 5,entreg 5"
BICYCLE_HANDLEBARS,345,"guida 297,alumini 85,mtb 74,bik 66,carbon 65,biciclet 58,mes 43,speed 34,ret 28,pro 26,curv 22,ris 20,xmm 19,canot 18,dh 15,xc 14,bmx 14,rac 12,fsa 12,bontrag 12,tsw 12,gt 12,alt 11,gio 11,al 10,road 10,shim 10,absolut 9,compact 9,tamp 9,vip 9,aco 9,zoom 9,monac 8,downhill 8,clip 8,ritchey 8,easyflow 7,specialized 7,cros 7,flat 7,fibr 7,triathlon 7,aer 6,estr 6,garf 6,sl 6,zipp 6,venz 6,par 6"
MAKEUP_REMOVERS,307,"demaquil 179,micel 71,agu 62,lenc 61,limp 52,ros 38,ruby 37,bifas 35,remov 35,fac 34,maqui 33,kay 19,mary 18,olh 18,oil 16,neutrogen 16,clean 15,bior 14,are 12,soluca 12,pel 12,loca 12,gel 12,deep 11,espum 11,mak 11,hb 11,cleansing 10,toalh 9,ole 9,liqu 8,atac 8,hidrat 8,leit 8,eud 7,lore 7,nive 7,ultr 7,paril 6,crem 6,la 6,max 6,lov 6,un 6,masc 6,vichy 6,lot 6,promoca 5,sabonet 5,fre 5"
LIGHTERS,470,"isqu 358,zipp 136,macar 73,recarrega 44,usb 30,ga 30,flu 29,metal 25,antig 24,cham 22,eletr 19,plasm 18,cartel 18,crom 18,caix 17,fret 17,bic 16,eletron 15,prov 14,honest 14,vent 14,vintag 14,pedr 13,aco 12,light 12,portatil 11,gratil 11,harley 11,davidson 11,carreg 10,agu 10,unid 10,coleca 10,prat 10,pip 10,western 9,chav 9,edica 9,limit 9,pavi 9,butan 8,cohib 8,port 8,ecolog 8,model 8,clipp 8,promoca 8,cigarr 7,hip 7,verd 7"
MOTORCYCLE_CRASH_BARS,351,"prote 294,motor 276,caren 121,slid 103,pedal 53,hond 47,cachorr 41,mat 40,sc 40,bmw 35,cb 34,xre 30,titan 26,yamah 24,gs 24,chap 21,bro 21,brind 17,mot 16,crom 16,fan 15,mt 15,tubul 14,procton 13,racing 13,kawasak 13,ate 12,spt 12,twist 11,crf 11,ten 10,barr 10,nxr 10,coyot 10,suzuk 10,cg 9,versy 9,di 9,nc 9,balanc 8,model 8,tig 8,tod 8,pro 8,tork 8,afric 8,twin 8,anodiz 8,triumph 8,faz 7"
